1,101,150.00,1,City,TRUE,,r101.jpg
1,102,250.00,2,City,TRUE,,r102.jpg
1,103,450.00,4,City,FALSE,,r103.jpg
1,104,150.00,1,City,TRUE,,r104.jpg
1,105,250.00,2,City,TRUE,,r105.jpg
2,201,120.00,1,Mountain,TRUE,,r201.jpg
2,202,200.00,2,Mountain,TRUE,,r202.jpg
2,203,380.00,4,Mountain,FALSE,,r203.jpg
2,204,120.00,1,Mountain,TRUE,,r204.jpg
2,205,200.00,2,Mountain,TRUE,,r205.jpg
3,301,100.00,1,City,TRUE,,r301.jpg
3,302,180.00,2,City,TRUE,,r302.jpg
3,303,350.00,4,City,FALSE,,r303.jpg
3,304,100.00,1,City,TRUE,,r304.jpg
3,305,180.00,2,City,TRUE,,r305.jpg
4,401,90.00,1,City,TRUE,,r401.jpg
4,402,160.00,2,City,TRUE,,r402.jpg
4,403,300.00,4,City,FALSE,,r403.jpg
4,404,90.00,1,City,TRUE,,r404.jpg
4,405,160.00,2,City,TRUE,,r405.jpg
5,501,200.00,1,Ocean,TRUE,,r501.jpg
5,502,350.00,2,Ocean,TRUE,,r502.jpg
5,503,600.00,4,Ocean,FALSE,,r503.jpg
5,504,200.00,1,Ocean,TRUE,,r504.jpg
5,505,350.00,2,Ocean,TRUE,,r505.jpg
6,601,130.00,1,City,TRUE,,r601.jpg
6,602,220.00,2,City,TRUE,,r602.jpg
6,603,400.00,4,City,FALSE,,r603.jpg
6,604,130.00,1,City,TRUE,,r604.jpg
6,605,220.00,2,City,TRUE,,r605.jpg
7,701,180.00,1,Ocean,TRUE,,r701.jpg
7,702,300.00,2,Ocean,TRUE,,r702.jpg
7,703,550.00,4,Ocean,FALSE,,r703.jpg
7,704,180.00,1,Ocean,TRUE,,r704.jpg
7,705,300.00,2,Ocean,TRUE,,r705.jpg
8,801,110.00,1,Mountain,TRUE,,r801.jpg
8,802,190.00,2,Mountain,TRUE,,r802.jpg
8,803,360.00,4,Mountain,FALSE,,r803.jpg
8,804,110.00,1,Mountain,TRUE,,r804.jpg
8,805,190.00,2,Mountain,TRUE,,r805.jpg
